ItemID,Item Ranking,DesiredLocation,DesiredShelf,DesiredShelfPriority,CurrentLocation,CurrentShelf,CurrentShelfPriority,PriorityMove
298820C01_NONE,300,D57A03A,3,1,D61A03A,3,1,0
293154C01_NONE,299,D58A03A,3,1,D61E01A,1,4,-3
296317CZ_NONE,298,D59A03A,3,1,D61C03A,3,1,0
298427C01_NONE,297,D60A03A,3,1,D59N03A,3,1,0
292667C01_NONE,296,D61A03A,3,1,D61K02A,2,3,-2
293003C01_NONE,295,D60L03A,3,1,D61A04A,4,2,-1
298307C00_NONE,294,D61L03A,3,1,D59J03A,3,1,0
290585CZ_NONE,293,D59L03A,3,1,D60J03A,3,1,0
291248C01_NONE,292,D58L03A,3,1,D61B01A,1,4,-3
293355C00_NONE,291,D57L03A,3,1,D48R03A,3,1,0
292633C01_NONE,290,D61C03A,3,1,D61R03A,3,1,0
290528CZ_NONE,289,D59C03A,3,1,D61C05B,5,5,-4
293209C01_NONE,288,D60C03A,3,1,D60E05D,5,5,-4
292549C01_NONE,287,D58C03A,3,1,D59S02A,2,3,-2
293015C01_NONE,286,D57C03A,3,1,D61J04A,4,2,-1
290012C01_NONE,285,D59N03A,3,1,D60C03A,3,1,0
268307C00_NONE,284,D61N03A,3,1,D61N03A,3,1,0
291076C01_NONE,283,D60N03A,3,1,D59G03A,3,1,0
292728C00_NONE,282,D58N03A,3,1,D59L03A,3,1,0
290744CZ_NONE,281,D59E03A,3,1,D60G03A,3,1,0
290778C01_NONE,280,D57N03A,3,1,D60A03A,3,1,0
299682C01_NONE,279,D61E03A,3,1,D59C03A,3,1,0
288307_NONE,278,D60E03A,3,1,D60N03A,3,1,0
297822_NONE,277,D59R03A,3,1,D59K02A,2,3,-2
292624C01_NONE,276,D58E03A,3,1,D60M02A,2,3,-2
296272CZ_NONE,275,D57E03A,3,1,D57E03A,3,1,0
299486C01_NONE,274,D60R03A,3,1,D61B02A,2,3,-2
299052C01_NONE,273,D61R03A,3,1,D61C02A,2,3,-2
293286C00_NONE,272,D59G03A,3,1,C48C03A,3,1,0
290591CZ_NONE,271,D58R03A,3,1,D59N02A,2,3,-2
290023C01_NONE,270,D57R03A,3,1,D60A02A,2,3,-2
293171C01_NONE,269,D61G03A,3,1,D61N05B,5,5,-4
292407C01_NONE,268,D60G03A,3,1,D61N04A,4,2,-1
288773C01_NONE,267,D58G03A,3,1,D59N05B,5,5,-4
263286C00_NONE,266,D57G03A,3,1,D59G05A,5,5,-4
290558CZ_NONE,265,D59J03A,3,1,D60D02A,2,3,-2
262667C01_NONE,264,D61J03A,3,1,D72G02C,2,3,-2
266317C01_NONE,263,D58J03A,3,1,D60G02A,2,3,-2
290781C01_NONE,262,D59A02A,2,3,D61M02A,2,3,0
293097C01_NONE,261,D60J03A,3,1,D60L03A,3,1,0
290597CZ_NONE,260,D57J03A,3,1,D60R03A,3,1,0
292236C00_NONE,259,D58A02A,2,3,D61E03A,3,1,2
299532C00_NONE,258,D61A02A,2,3,D59E03A,3,1,2
299239C01_NONE,257,D59L02A,2,3,D59A03A,3,1,2
299406C01_NONE,256,D57A02A,2,3,D59C02A,2,3,0
290058C01_NONE,255,D60A02A,2,3,D59L02A,2,3,0
262728C00_NONE,254,D58L02A,2,3,D61L02A,2,3,0
291156C01_NONE,253,D61L02A,2,3,D60H02A,2,3,0
291445C01_NONE,252,D57L02A,2,3,D61J02A,2,3,0
291199C01_NONE,251,D59M02A,2,3,D60E03A,3,1,2
